Term_English;Istilah_Indonesia;Definisi
Tax;pajak;Pajak karbon adalah retribusi atas kandungan karbon dari bahan bakar fosil. Karena hampir semua karbon dalam bahan bakar fosil pada akhirnya dipancarkan sebagai CO2, pajak karbon setara dengan pajak emisi pada setiap unit setara emisi CO2. Pajak energi - retribusi atas energi isi bahan bakar - mengurangi permintaan energi dan mengurangi CO2 emisi dari penggunaan bahan bakar fosil. Eco-pajak dirancang untuk mempengaruhi perilaku manusia (perilaku khusus ekonomi) untuk mengikuti jalan ekologis terkontrol. Sebuah pajak karbon internasional / emisi / energi adalah pajak yang dikenakan pada sumber daya yang ditentukan dalam negara peserta oleh otoritas internasional. Pendapatan yang didistribusikan atau digunakan sebagaimana ditentukan oleh otoritas atau oleh negara peserta tersebut. Harmonisasi pajak dilakukan oleh negara peserta untuk menarik pajak pada tingkat yang umum pada sumber yang sama, karena memaksakan tingkat yang berbeda di seluruh negara maka akan menyebabkan efektif biaya tidak sama. Sebuah kredit pajak adalah pengurangan pajak dalam rangka untuk merangsang pembelian atau investasi dalam suatu produk tertentu, seperti 149 teknologi mengurangi emisi Gas rumah kaca. Sedangkan biaya karbon adalah sama sebagai pajak karbon.
Technical Potential;Technical Potential;potensi Teknis adalah jumlah yang sangat mungkin untuk mengurangi emisi GRK atau meningkatkan efisiensi energi dengan menerapkan teknologi atau praktek yang sudah ditunjukkan. Tidak ada referensi yang jelas untuk biaya dibuat tetapi mengadopsi 'kendala praktis' dapat mempertimbangkan implisit ekonomi pertimbangan.
Technological Additionality;Technological Additionality;Teknologi yang digunakan dalam proyek harus merupakan teknologi yang terbaik untuk negara tersebut.
Technological change;perubahan teknologi;Sebagian besar merupakan perbaikan teknologi, yaitu, lebih atau barang lebih baik dan layanan dapat disediakan dari jumlah yang diberikan sumber daya (faktor produksi). Model ekonomi membedakan otonom (eksogen), dan endogen diinduksi teknologi berubah.
Technology;Technology;Aplikasi praktis dari pengetahuan untuk mencapai tugas-tugas tertentu yang mempekerjakan kedua artefak teknis (perangkat keras, peralatan) dan (sosial) informasi ('software', know-how untuk produksi dan menggunakan artefak).
Technology transfer;transfer teknologi;Pertukaran pengetahuan, perangkat keras dan perangkat lunak terkait, uang dan barang antara para pemangku kepentingan, yang menyebabkan penyebaran teknologi untuk adaptasi atau mitigasi Istilah meliputi kedua difusi teknologi dan kerja sama teknologi di seluruh dan dalam negara.
Teleconnection;telekoneksi;Sambungan antara variasi iklim lebih luas dipisahkan oleh bagian dunia yang berbeda. Dari segi fisik, telekoneksi sering merupakan konsekuensi dari skala besar gelombang gerakan atmosfer, 150 dimana energi yang ditransfer dari daerah sumber bersama pilihan jalan di atmosfer.
Thermal expansion;ekspansi panas;Sehubungan dengan permukaan laut, ekspansi ini mengacu pada peningkatan volume (dan penurunan densitas) yang dihasilkan dari proses pemanasan air laut. Pemanasan di laut menyebabkan peningkatan volume masa air lautan dan juga peningkatan paras muka air laut.
Thermal infrared radiation;radiasi panas infra merah;Radiasi yang dipancarkan oleh permukaan bumi, atmosfer dan awan. Ia juga dikenal sebagai terestrial atau radiasi gelombang panjang, dan harus dibedakan dari radiasi inframerah dekat yang merupakan bagian dari spektrum matahari. Radiasi inframerah, secara umum, memiliki jangkauan (spektrum) panjang gelombang yang khas dari panjang gelombang warna merah di bagian spektrum cahaya tampak. Spektrum radiasi inframerah termal praktis berbeda dari gelombang pendek radiasi matahari karena disebabkan oleh perbedaan suhu permukaan Matahari (6000 K) dan Bumi (K).
Thermocline;Thermocline;Lapisan gradien suhu maksimum vertikal di laut, terletak di antara permukaan laut dan samudera abyssal. Di daerah subtropis, perairan sumbernya biasanya air permukaan di lintang tinggi yang telah subduksi dan pindah equatorward. Di lintang tinggi, kadang-kadang tidak ada kondisi tersebut, diganti dengan Halocline, yang merupakan lapisan gradien salinitas maksimum vertikal.
Thermohaline circulation;THC;Skala besar sirkulasi di laut yang mengubah low-density perairan laut atas untuk perairan higher density menengah dan mendalam dan mengembalikan mereka kembali ke perairan laut bagian atas. Sirkulasi yang terjadi adalah asimetris, dengan konversi ke perairan padat di wilayah terbatas di lintang tinggi dan kembali ke permukaan yang melibatkan upwelling lambat dan proses difusif lebih wilayah geografis jauh lebih besar. THC ini didorong oleh 151 kepadatan tinggi pada atau dekat permukaan, yang disebabkan oleh suhu dingin dan / atau salinitas tinggi, tetapi juga dapat didorong oleh kekuatan mekanis seperti angin dan pasang surut. Sering, istilah THC juga digunakan secara sinonim dengan sirkulasi jungkir balik meridional di dalam laut.
Thermokarst;Thermokarst;Proses di mana karakteristik Lahan yang bentuknya akibat dari mencairnya es kaya permafrost atau mencairnya es tanah besar (Van Everdingen, 1998).
Threshold;ambang batas;Tingkat besarnya proses sistem di mana tiba-tiba atau perubahan yang cepat terjadi. Sebuah titik atau tingkat di mana sifat atau kondisi baru muncul dalam suatu sistem ekologi, ekonomi atau lainnya, membatalkan prediksi didasarkan pada hubungan matematis yang berlaku di lebih rendah tingkat.
Tide gauge;Tide gauge;Perangkat di lokasi pesisir (dan beberapa laut lokasi) yang terus menerus mengukur paras muka laut dihubungkan dengan lahan daratan yang berdekatan. Waktu rata-rata dari tinggi permukaan laut sehingga tercatat memberikan perubahan sekuler diamati dari tinggi permukaan laut relatif.
Tolerable windows approach;TWA;Pendekatan ini berusaha untuk mengidentifikasi himpunan semua perlindungan iklim strategis yang bersamaan kompatibel dengan 1) ditentukan jangka panjang iklim perlindungan tujuan, dan pembatasan normatif 2) pada beban mitigasi emisi. Kendala dapat mencakup batas pada besar dan tingkat perubahan suhu global rata-rata, pada melemahnya sirkulasi termohalin lautan, kerugian ekosistem dan kerugian kesejahteraan ekonomi akibat iklim dipilih kerusakan biaya adaptasi, dan upaya mitigasi. Untuk satu set kendala, dan diberikan solusi ada, TWA membagi berdasarkan emisi koridor sesuai jalur emisi yang dipilih.
Top-down models;Top-down models;Merupakan model yang menerapkan teori ekonomi makro, 152 ekonometrik dan optimasi teknik untuk variabel ekonomi agregat. Menggunakan data historis pada konsumsi, harga, pendapatan, dan biaya faktor, top-down model menilai permintaan akhir barang dan jasa, dan pasokan dari sektor-sektor utama, seperti sektor energi, transportasi, pertanian, dan industri. Beberapa topdown model menggabungkan teknologi data, mempersempit kesenjangan untuk bottom-up model
Total solar irradiance;TSI;Jumlah radiasi matahari yang diterima di luar atmosfer bumi pada permukaan yang tegak lurus terhadap sudut datang radiasi, dan pada jarak rata-rata antara Bumi dari Matahari. Pengukuran handal radiasi matahari hanya dapat dilakukan dari ruang angkasa dan catatan yang akurat mundur kembali hingga hanya untuk 1978. Nilai yang berlaku umum adalah 1.W m-2 dengan akurasi sekitar 0,2%. Variasi dari beberapa persepuluh persen yang umum, biasanya berhubungan dengan berlalunya bintik matahari di seluruh permukaan matahari. Variasi siklus matahari dari TSI adalah sekitar 0,1% (AMS, 2000).
Trace gas;gas penjejak;Sebuah konstituen minor dari atmosfer, di samping nitrogen dan oksigen yang bersama-sama membentuk 99% dari volume semua udara. Gas penjejak paling penting yang memberikan kontribusi pengaruh dari efek rumah kaca adalah karbon dioksida, ozon, metana, nitrous oxide, perfluorokarbon, chlorofluorocarbon, hidrofluorokarbon, sulfur heksafluorida dan uap air.
Track 1;Track 1;ERU dari proyek JI dapat dihasilkan melalui Track 1 yang disederhanakan, di mana negara tuan rumah mampu memverifikasi ERU dan menangani masalah yang berkaitan dengan ERU secara tepat. Track 1 mewajibkan negara tuan rumah untuk memiliki proses yang jelas di tempat untuk menyetujui proyek-proyek JI, pemantauan kinerja proyek dan memverifikasi ERU yang dihasilkan, dibandingkan dengan baseline. Negara tuan rumah juga harus memiliki sistem nasional untuk melacak persediaan gas rumah kaca mereka dan Assigned Amount Units (AAU) 153
Track 2;Track 2;ERU dari proyek JI dapat dihasilkan melalui Track 2 jika negara tuan rumah merupakan bagian pada Protokol Kyoto tetapi hanya memenuhi persyaratan memiliki registri nasional dan AAU. ERU kemudian hanya dapat diverifikasi dengan menggunakan prosedur yang ditetapkan oleh prosedur JISC, yang dikenal sebagai Track 2
Transpiration;transpirasi;Penguapan uap air dari permukaan daun melalui stomata.
Tree line;garis batas pohon;Batas atas pertumbuhan pohon di pegunungan atau lintang tinggi. Batas tersebut lebih tinggi atau lebih tinggi nilai lintangnya daripada batas garis hutan.
Tree rings;lingkar pohon;Konsentris cincin dari kayu sekunder yang jelas tampak dalam potongan melintang batang dari tanaman berkayu. Perbedaan antara kayu, padat kecil bersel pada akhir satu musim dan kayu lebar bersel pada awal musim berikutnya memungkinkan usia pohon dapat diperkirakan, selain itu cincin lebar atau kepadatannya dapat dikaitkan dengan parameter iklim seperti suhu dan curah hujan.
Trend;Tren;Dalam hal ini, tren kata menunjuk perubahan, umumnya monoton dalam waktu, dalam nilai variabel.
Trophic level;Trophic level;Posisi yang ditempati suatu organisme dalam rantai makanan
Trophic relationship;Trophic relationship;Hubungan ekologi yang terjadi ketika satu spesies memberi asupan kepada atau memakan yang lain.
Tropical Nights;Tropical Nights;Jumlah hari dalam setahun yang memiliki suhu minimum > 20 ° C. 154
Tropopause;Tropopause;Batas antara troposfir dan stratosfir.
Troposphere;troposfir;Bagian terendah dari atmosfer, dari permukaan sampai sekitar 10 km di ketinggian di pertengahan garis lintang (antara 9 km di lintang tinggi sampai 16 km di daerah tropis rata-rata), di mana awan dan fenomena cuaca terjadi. Di troposfir, suhu umumnya menurun dengan ketinggian. 155
Uncertainty;ketidak pastian;"Sebuah ekspresi dari sejauh mana nilai (misalnya, negara masa depan sistem iklim) tidak diketahui. Ketidakpastian didapat dari hasil kurangnya informasi atau dari perbedaan pendapat tentang apa yang dikenal atau bahkan diketahui. Ini mungkin memiliki berbagai jenis sumber, dari kesalahan dalam data kuantitatif dengan konsep ketidak pastian atau proyeksi terminologi, atau tidak pasti dari perilaku manusia. Ketidakpastian itu dapat diwakili oleh ukuran kuantitatif, misalnya, rentang nilai dihitung dengan berbagai proyeksi model, atau dengan pernyataan kualitatif, misalnya, mencerminkan penilaian dari tim ahli (lihat Moss dan Schneider, 2000;. Manning et al, 2004)."
Undernutrition;asupan nutrisi rendah;Keadaan sementara atau kronis akibat asupan rendah dari yang direkomendasikan asupan energi makanan sehari-hari dan / atau kebutuhan protein yang ideal, baik melalui asupan makanan yang tidak cukup, faktor penyerapan yang buruk, dan / atau konsumsi nutrisi yang miskin secara biologis.
Ungulate;Ungulate;Golongan hewan, biasanya herbivora, berkaki empat mamalia (termasuk ruminansia, babi, unta, kuda nil, kuda, badak dan gajah).
United Nations Framework Convention on Climate Change;UNFCCC;Konvensi Kerangka Kerja PBB tentang Perubahan Iklim. Konsep UNFCCC dikembangkan pada World Climate Conference 2 pada tahun 1990 yang dibidani oleh World Meteorological Organization and UN Environment Program. Konvensi ini diadopsi pada tanggal Mei 1992 di New York dan ditandatangani pada KTT Bumi 1992 di Rio de Janeiro oleh lebih dari 150 negara dan Komunitas Eropa. Tujuan utamanya adalah 'stabilisasi konsentrasi gas rumah kaca di atmosfer pada tingkat yang akan 157 mencegah gangguan antropogenik yang berbahaya dengan sistem iklim. Ini berisi komitmen untuk semua Pihak. Di bawah Konvensi, para Pihak yang termasuk dalam Annex I (semua negara OECD dan negara dengan ekonomi dalam transisi) bertujuan untuk mengembalikan emisi gas rumah kaca yang tidak diatur oleh Protokol Montreal untuk tingkat 1990 pada tahun 2000. Mengadakan konvensi yang berlaku di bulan Maret 1994.
Uptake;Uptake;Penambahan zat yang menjadi perhatian reservoir. Penyerapan zat mengandung karbon, karbon dioksida tertentu, sering disebut (karbon) penyerapan.
Urban heat island;UHI;Besaran kehangatan relatif dari sebuah kota dibandingkan dengan daerah pedesaan sekitarnya, terkait dengan perubahan debit, efek hutan beton pada retensi panas, perubahan Albedo permukaan, perubahan polusi dan aerosol, dan sebagainya.
Upwelling region;Daerah upwelling;Suatu wilayah di laut di mana suhu permukaannya dingin, biasanya diakibatkan arus yang kaya nutrisi dari bagian bawah permukaan laut mengalir ke permukaan.
Urbanisation;urbanisasi;Konversi lahan dari keadaan alami atau dikelola alami oleh negara (seperti pertanian) untuk menjadi perkotaan. Sebuah proses yang dikendalikan oleh kegiatan migrasi perkotaan melalui persentase peningkatan penduduk di setiap negara atau wilayah datang untuk tinggal di permukiman yang didefinisikan sebagai 'pusat kota'. 158 159
Vagile;Vagile;Dapat bermigrasi
Value added;nilai tambah;Output bersih sektor atau kegiatan setelah menambahkan semua output dan mengurangkan biaya antara.
Values;nilai;Harga, keinginan atau utilitas berdasarkan preferensi individu. Disiplin ilmu sosial paling sering menggunakan beberapa definisi nilai. Terkait dengan alam dan lingkungan, ada perbedaan antara nilai intrinsik dan instrumental, dimana yang terakhir diberikan oleh manusia. Dalam nilai-nilai instrumental, ada katalog yang belum diselesaikan yang berbeda nilai, misalnya (langsung dan tidak langsung) digunakan, pilihan, konservasi, keberuntungan, warisan, keberadaan, dll Ekonomi mainstream menentukan nilai total sumber daya apapun sebagai jumlah nilai dari individuindividu yang terlibat dalam penggunaan sumber daya. Nilai ekonomi, yang merupakan dasar dari estimasi biaya, diukur dalam hal kemauan untuk membayar oleh individu untuk mendapatkan sumber daya atau dengan kemauan individu untuk menerima pembayaran untuk diambil sumber dayanya.
Vascular plants;Vascular plants;Tanaman tinggi dengan pembuluh darah, yaitu, jaringan getahtransportasi enzim.
Vector;Vector;Organisme penghisap darah, seperti serangga, yang mengirimkan patogen dari satu host ke yang lain. Lihat juga vektor penyakit.
Vector-borne diseases;vektor penyakit;Penyakit yang ditularkan antara host oleh organisme vektor (seperti nyamuk atau kutu), misalnya, malaria, demam berdarah dan leishmaniasis.
Vernalisation;vernalisasi;Para ahli biologi menetapkan persyaratan masa pertumbuhan tanaman tertentu, seperti sereal musim dingin, yang perlu periode suhu dingin yang ekstrim sebelum munculnya dan / atau selama tahap pertumbuhan awal, untuk bunga dan menghasilkan biji. Dengan kata lain, tindakan atau proses mempercepat pembungaan dan pembuahan tanaman dengan memperlakukan benih, umbi atau bibit dengan suhu dingin, sehingga dapat mendorong memperpendek masa pertumbuhan.
Ventilation;ventilasi;Pertukaran sifat laut dengan lapisan permukaan atmosfer di atasnya sehingga konsentrasi properti dibawah muka laut lebih dekat dengan nilai-nilai kesetimbangan dengan atmosfer (AMS, 2000).
